Estancia,Categoria,Tipo_mueble,Mas_vendido,Enlace_producto,Nombre,Descripcion,Precio,Opiniones_5,Opiniones_4,Opiniones_3,Opiniones_2,Opiniones_1,Valoracion_Diseno,Valoracion_Montaje,Valoracion_Calidad,Valoracion_Relacion,Valoracion_Funcionamiento,Imagen_principal,ID,Resenas,Valoracion,Ancho,Largo,Altura,relacionados_lista,Variantes_ID,Variantes_colores,grupo_agrupacion,Score
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-puertas-vidrio-blanco,BRIMNES,Mueble TV con puertas de vidrio,397.99,35,8,2,1,0,4.8,4.4,4.4,4.7,4.8,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-puertas-vidrio-blanco__0619452_pe689095_s5.jpg?f=s,59278232,46,4.7,320.0,41.0,190.0,"[59398673, 39602439, 39477242, 89184331, 79602437, 29278219, 19521175, 59602075, 99602441, 79398672, 69398620, 29398684]",Sin_variacion,[],CATEGORIA_Muebles de almacenaje para salón,0.7046979302437602
Salón,Muebles de almacenaje para salón,Muebles de salón,0,kallax-lack-mueble-tv-con-estanteria-efecto-roble-tinte-blanco,KALLAX / LACK,Mueble TV con estantería,242.97,1,0,0,0,0,4.0,5.0,5.0,5.0,5.0,https://www.ikea.com/es/es/images/products/kallax-lack-mueble-tv-con-estanteria-efecto-roble-tinte-blanco__1243014_pe920482_s5.jpg?f=s,29552171,1,5.0,224.0,39.0,147.0,"[89552173, 59560674, 9552172, 89521073, 49521112, 69406286, 59440610, 39477242, 29560675, 69494607, 79420300, 19521175]","['09552172', '89552173']","['Blanco', 'Negro']",Mueble TV con estantería,0.6273215905798516
Salón,Muebles de almacenaje para salón,Muebles de salón,0,hemnes-mueble-tv-con-estanteria-tinte-blanco-marron-claro-vidrio-incoloro,HEMNES,Mueble TV con estantería,777.0,34,11,3,3,0,4.7,4.3,4.1,4.4,4.6,https://www.ikea.com/es/es/images/products/hemnes-mueble-tv-con-estanteria-tinte-blanco-marron-claro-vidrio-incoloro__0805279_pe769472_s5.jpg?f=s,19299571,51,4.5,326.0,41.0,197.0,"[9336569, 19437332, 39534817, 50413526, 19534818, 19387902, 59278232, 99437333, 9384051, 59437330, 39437331, 59398673]",['09336569'],['Negro'],Mueble TV con estantería,0.6412244541416483
Salón,Muebles de almacenaje para salón,Muebles de salón,0,baggebo-mueble-tv-con-estanteria-blanco,BAGGEBO,Mueble TV con estantería,96.46,7,1,0,0,0,4.6,4.9,4.5,4.9,4.5,https://www.ikea.com/es/es/images/products/baggebo-mueble-tv-con-estanteria-blanco__1043125_pe841672_s5.jpg?f=s,29443653,8,4.9,174.0,35.0,160.0,"[59278232, 59278213, 39477242, 19521175, 50409874, 29560675, 59398673, 69494607, 59184337, 9503313, 9552172, 39184343]",Sin_variacion,[],Mueble TV con estantería,0.8123302254406303
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-mueble-tv-con-puertas-vidrio-negro-marron-lappviken-vidrio-transparente-negro-marron,BESTÅ,Mueble TV con puertas de vidrio,520.0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0,https://www.ikea.com/es/es/images/products/besta-mueble-tv-con-puertas-vidrio-negro-marron-lappviken-vidrio-transparente-negro-marron__0644930_pe703089_s5.jpg?f=s,59406710,1,5.0,300.0,42.0,211.0,"[19556075, 59406833, 59406852, 19406929, 99406831, 29575295, 59488800, 59507907, 9488789, 99406708, 29406924, 9412351]","['99406831', '59406833', '19556075', '29406924', '19406929', '69556073', '59406852']","['Blanco', 'Marrón', 'Gris Oscuro', 'Blanco', 'Negro', 'Gris Oscuro', 'Negro']",CATEGORIA_Muebles de almacenaje para salón,0.5999251331863742
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-burhult-mueble-tv-con-estanteria-blanco,BRIMNES / BURHULT,Mueble TV con estantería,374.97,2,0,1,0,0,4.0,3.7,4.0,5.0,4.3,https://www.ikea.com/es/es/images/products/brimnes-burhult-mueble-tv-con-estanteria-blanco__0943476_pe796944_s5.jpg?f=s,59398673,3,4.3,338.0,41.0,190.0,"[59278232, 39602439, 89184331, 19521175, 59602075, 39477242, 79602437, 79398672, 29278219, 99602441, 69398620, 59184337]",Sin_variacion,[],Mueble TV con estantería,0.5519353652236351
Salón,Muebles de almacenaje para salón,Muebles de salón,0,kallax-mueble-tv-con-estanteria-blanco,KALLAX,Mueble TV con estantería,139.99,18,5,1,2,1,4.7,4.2,4.3,4.5,4.6,https://www.ikea.com/es/es/images/products/kallax-mueble-tv-con-estanteria-blanco__1277927_pe931113_s5.jpg?f=s,29560675,27,4.4,147.0,39.0,60.0,"[59560674, 9552172, 50409874, 70562087, 59184337, 39477242, 59278213, 49521112, 80227797, 49194105, 69494607, 9503313]","['59560674', '79560673']","['Marrón', 'Negro']",Mueble TV con estantería,0.7468730839046765
Salón,Muebles de almacenaje para salón,Muebles de salón,0,vihals-mueble-tv-con-almacenaje-blanco,VIHALS,Mueble TV con almacenaje,288.0,1,0,0,0,0,4.0,5.0,4.0,5.0,5.0,https://www.ikea.com/es/es/images/products/vihals-mueble-tv-con-almacenaje-blanco__1210166_pe909559_s5.jpg?f=s,19521175,1,5.0,285.0,37.0,140.0,"[89184331, 59398673, 59184337, 99440613, 59278232, 49440615, 79398672, 39477242, 29278219, 9440679, 59602075, 9602073]",Sin_variacion,[],Mueble TV con almacenaje,0.5656948965455768
Salón,Muebles de almacenaje para salón,Muebles de salón,1,besta-mueble-tv-con-puertas-vidrio-blanco-lappviken-vidrio-transparente-blanco,BESTÅ,Mueble TV con puertas de vidrio,765.0,5,3,3,0,2,4.5,3.3,3.7,4.0,3.8,https://www.ikea.com/es/es/images/products/besta-mueble-tv-con-puertas-vidrio-blanco-lappviken-vidrio-transparente-blanco__0645055_pe703188_s5.jpg?f=s,79411013,13,3.7,300.0,42.0,231.0,"[39436001, 39411251, 49411241, 59411014, 39476822, 39597391, 99411248, 69411240, 39556135, 29614579, 89480930, 59614573]","['29614579', '49411241', '39436001', '59411014', '99556137', '59614573', '69411240', '09411002', '39556135', '39597391', '39411251', '99411031', '99411248']","['Marrón', 'Blanco', 'Marrón', 'Marrón', 'Gris Oscuro', 'Marrón', 'Negro', 'Negro', 'Gris Oscuro', 'Blanco', 'Blanco', 'Negro', 'Blanco']",CATEGORIA_Muebles de almacenaje para salón,0.6622382062960869
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,169.98,38,14,3,0,2,4.6,4.3,4.2,4.5,4.6,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__1448904_pe989681_s5.jpg?f=s,59184337,57,4.5,200.0,41.0,95.0,"[59278213, 29278219, 19521175, 89184331, 69494607, 9602073, 39477242, 39184343, 49521112, 99535296, 29560675, 9503313]",Sin_variacion,[],Mueble TV con estantería,0.749422781396962
